Order ID,Generic Name,Brand Name,Company Name,Disease Medical Use,Invoice date,Company code,ship to country,Sold-to party Country Full Name,Delivery Plant,External Agent,Sales quantity,Price TC /Kg,Revenue,External commissions,Months
FY-2015-001,Aripiprazole,Abilify,Generic,Psychosis; depression,09-11-2015,5704,Mexico,Mexico,8370,Not assigned,450, $204.0 ," $91,800.0 ", $-   ,Nov
IN-2015-002,Oxycodone,OxyContin,Generic,Pain,30-06-2015,5704,Thailand,Thailand,8370,Not assigned,374, $472.0 ," $1,76,528.0 ", $-   ,Jun
IN-2015-003,Oxycodone,OxyContin,Generic,Pain,05-12-2015,5704,Vietnam,Japan,8370,Assigned,138, $472.0 ," $65,136.0 "," $4,186.0 ",Dec
IN-2015-004,Oxycodone,OxyContin,Generic,Pain,09-05-2015,5704,Australia,Australia,8370,Not assigned,227, $472.0 ," $1,07,144.0 ", $-   ,May
IN-2015-005,Oxycodone,OxyContin,Generic,Pain,09-07-2015,5704,Singapore,Singapore,8370,Not assigned,394, $472.0 ," $1,85,968.0 ", $-   ,Jul
IN-2015-006,Oxycodone,OxyContin,Generic,Pain,25-02-2015,5704,Singapore,Singapore,8370,Not assigned,261, $472.0 ," $1,23,192.0 ", $-   ,Feb
IN-2015-007,Oxycodone,OxyContin,Generic,Pain,09-04-2015,5704,Thailand,Thailand,8370,Assigned,129, $472.0 ," $60,888.0 ", $817.0 ,Apr
IN-2015-008,Oxycodone,OxyContin,Generic,Pain,30-03-2015,5704,Thailand,Thailand,8370,Assigned,310, $472.0 ," $1,46,320.0 "," $5,063.3 ",Mar
IN-2015-009,Oxycodone,OxyContin,Generic,Pain,09-02-2015,5704,Thailand,Thailand,8370,Assigned,111, $472.0 ," $52,392.0 "," $1,184.0 ",Feb
IN-2015-010,Oxycodone,OxyContin,Generic,Pain,21-04-2015,5704,Egypt,Egypt,8370,Not assigned,109, $472.0 ," $51,448.0 ", $-   ,Apr
CA-2015-011,Pregabalin,Lyrica,Pfizer,Neuropathic pain,16-11-2015,5887,India,India,8095,Not assigned,46, $500.0 ," $23,000.0 ", $-   ,Nov
